Is Block Set?,creativeTab,New Block?,Update,Status,Label,Block Name,Source,Author,Block Type,Block Set Name,Notes,,
FALSE,westeros_water_air_tab,FALSE,,Not Started,Alyssas Tears Mist Four,alyssas_tears_mist_four,WesterosBlocks,,web,,,,"Special thanks to Doku, Misa, Hickerydickery, WantedRobot, SMP, WhitefireNeo, Monsterfish_, Rota_Fortunae (ex:Wheellee), and the following users from the DokuCommunity for their input on the respective textures:"
FALSE,westeros_water_air_tab,FALSE,,Not Started,Alyssas Tears Mist One,alyssas_tears_mist_one,WesterosBlocks,,web,,,,
FALSE,westeros_water_air_tab,FALSE,,Not Started,Alyssas Tears Mist Three,alyssas_tears_mist_three,WesterosBlocks,,web,,,,"* Monsterfish_ - Assorted grass textures, Oak Leaves, Reed/Cattails, Wheat, Grass Block, Vines, Bracken, base for Dirt/Gravel textures"
FALSE,westeros_water_air_tab,FALSE,,Not Started,Alyssas Tears Mist Two,alyssas_tears_mist_two,WesterosBlocks,,web,,,,"* Rota_Fortunae (ex:Wheellee) - Cow Parsley, Lady Fern, Nettle, Fireweed"
FALSE,westeros_food_blocks_tab,FALSE,,Not Started,Apple Basket,apple_basket,"Doku, WesterosBlocks",,solid,,,,"* Balloftape - Skull, CreeperHead, SurvivorHead, Redstone Lamp"
FALSE,westeros_food_blocks_tab,FALSE,,Not Started,Apple Basket Slab,apple_basket_slab,"Doku, WesterosBlocks",,slab,,,,* Metatron - Zombie Head
FALSE,westeros_food_blocks_tab,FALSE,Wood Update,Ready For Work,Apple Crate,apple_crate,Doku,,solid,,,,* Savage Alien - Empty Map
FALSE,westeros_foliage_tab,FALSE,,Complete,Apple Fruit Leaves,apple_fruit_leaves,Doku,,leaves,,,,"* Gabriel MBR - Baked Potatoe, Pumpkin Pie"
FALSE,westeros_utility_tab,FALSE,,Complete,Approval' Utility Block,approval_utility_block,WesterosBlocks,,solid,,,,"* Duru - Armor Icons, Compass, Pork, Brewing Stand"
FALSE,westeros_food_blocks_tab,FALSE,,Not Started,Apricot Basket,apricot_basket,Unsure,,solid,,,,* Foodstamp - Armor Icons
FALSE,westeros_food_blocks_tab,FALSE,,Not Started,Apricot Basket Slab,apricot_basket_slab,,,slab,,,,* CCCode - Chainmail Icons
FALSE,westeros_foliage_tab,FALSE,,Complete,Apricot Fruit Leaves,apricot_fruit_leaves,,,leaves,,,,"* LordofSax - Helmet, Chestplate, Leggings, etc."
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor,arbor_brick,Doku,,solid,arbor_brick,,,* Dark_Tundra - Banner
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Arrow_slit,arbor_brick_arrow_slit,Doku,,solid,arbor_brick,,,"* Wessexstock - Survivor Skin, Zombie Skin"
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Arrow_slit_ornate,arbor_brick_arrow_slit_ornate,Doku,,solid,arbor_brick,,,* Zaph34r - Sign
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Arrow_slit_window,arbor_brick_arrow_slit_window,Doku,,solid,arbor_brick,,,* Diet Taco - Trap Door
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Fence,arbor_brick_fence,Doku,,fence,arbor_brick,,,"* Alexium - Cake, Cake Item"
FALSE,westeros_furniture_tab,FALSE,,Not Started,Ashlar Furnace Arbor,arbor_brick_furnace,Doku,,furnace,,,,* Kloporte - Bread
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Hopper,arbor_brick_hopper,Doku,,cuboid,arbor_brick,,,"* Noodaa - Rotten Flesh, Melon Slice"
FALSE,westeros_panelling_carvings_tab,FALSE,,Not Started,Ashlar Engraved Arbor,arbor_brick_ornate,Doku,,solid,,,,"* Dark Defender - ChickenMeat, Cauldron, Mushroom Block"
FALSE,westeros_panelling_carvings_tab,FALSE,,Not Started,Ashlar Engraved Arbor Wall,arbor_brick_ornate_wall,Doku,,wall,,,,* Aceofhrts97 - Beef
TRUE,westeros_polished_stone_tab,FALSE,,Not Started,Polished Stone Arbor,arbor_brick_polished,Doku,,solid,arbor_brick_polished,,,* Dubca7 - Cauldron
TRUE,westeros_polished_stone_tab,FALSE,,Not Started,Polished Stone Arbor Slab,arbor_brick_polished_slab,Doku,,slab,arbor_brick_polished,,,"* SerAaron - Book, Flagstones"
TRUE,westeros_polished_stone_tab,FALSE,,Not Started,Polished Stone Arbor Stairs,arbor_brick_polished_stairs,Doku,,stair,arbor_brick_polished,,,* Straxael - Explosion
TRUE,westeros_polished_stone_tab,FALSE,,Not Started,Polished Stone Arbor Wall,arbor_brick_polished_wall,Doku,,wall,arbor_brick_polished,,,"* JetStorm - Wooden Planks, Chiseled Stone Brick, Sandstone"
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Slab,arbor_brick_slab,,,slab,arbor_brick,,,* Staretta - Glass Panes
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Stairs,arbor_brick_stairs,,,stair,arbor_brick,,,* AwesomeSauceUK- Nether Brick
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Tip,arbor_brick_tip,,,cuboid,arbor_brick,,,"* Recreps4444, SeanFletcher,DWSkanska, TheBaconizer - Oak Sapling, Assorted Flowers"
TRUE,westeros_medium_ashlar_tab,FALSE,,Not Started,Medium Ashlar Arbor Wall,arbor_brick_wall,,,wall,arbor_brick,,,* Max - Diamond Block
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth,arbor_brown_plaster,,,solid,arbor_brown_plaster,,,"* DWSkanska - Carrot, Skull, Language Buttons"
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth Fence,arbor_brown_plaster_fence,,,fence,arbor_brown_plaster,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth Hopper,arbor_brown_plaster_hopper,,,cuboid,arbor_brown_plaster,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough,arbor_brown_plaster_rough,,,solid,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough Fence,arbor_brown_plaster_rough_fence,,,fence,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough Hopper,arbor_brown_plaster_rough_hopper,,,cuboid,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough Slab,arbor_brown_plaster_rough_slab,,,slab,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough Stairs,arbor_brown_plaster_rough_stairs,,,stair,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough Tip,arbor_brown_plaster_rough_tip,,,cuboid,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Rough Wall,arbor_brown_plaster_rough_wall,,,wall,arbor_brown_plaster_rough,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth Slab,arbor_brown_plaster_slab,,,slab,arbor_brown_plaster,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth Stairs,arbor_brown_plaster_stairs,,,stair,arbor_brown_plaster,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth Tip,arbor_brown_plaster_tip,,,cuboid,arbor_brown_plaster,,,
TRUE,westeros_marble_plaster_tab,FALSE,,Not Started,Arbor Brown Plaster Smooth Wall,arbor_brown_plaster_wall,,,wall,arbor_brown_plaster,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor,arbor_cobblestone,,,solid,arbor_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor Fence,arbor_cobblestone_fence,,,fence,arbor_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor Hopper,arbor_cobblestone_hopper,,,cuboid,arbor_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor Slab,arbor_cobblestone_slab,,,slab,arbor_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor Stairs,arbor_cobblestone_stairs,,,stair,arbor_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor Tip,arbor_cobblestone_tip,,,cuboid,arbor_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Arbor Wall,arbor_cobblestone_wall,,,wall,arbor_cobblestone,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor,arbor_large_brick,Doku,,solid,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Arrow_slit,arbor_large_brick_arrow_slit,Doku,,solid,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Arrow_slit_ornate,arbor_large_brick_arrow_slit_ornate,Doku,,solid,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Arrow_slit_window,arbor_large_brick_arrow_slit_window,Doku,,solid,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Fence,arbor_large_brick_fence,Doku,,fence,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Hopper,arbor_large_brick_hopper,Doku,,cuboid,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Slab,arbor_large_brick_slab,Doku,,slab,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Stairs,arbor_large_brick_stairs,Doku,,stair,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Tip,arbor_large_brick_tip,Doku,,cuboid,arbor_large_brick,,,
TRUE,westeros_half_ashlar_tab,FALSE,,,Half Ashlar Arbor Wall,arbor_large_brick_wall,Doku,,wall,arbor_large_brick,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor,arbor_light_cobblestone,,,solid,arbor_light_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor Fence,arbor_light_cobblestone_fence,,,fence,arbor_light_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor Hopper,arbor_light_cobblestone_hopper,,,cuboid,arbor_light_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor Slab,arbor_light_cobblestone_slab,,,slab,arbor_light_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor Stairs,arbor_light_cobblestone_stairs,,,stair,arbor_light_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor Tip,arbor_light_cobblestone_tip,,,cuboid,arbor_light_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Arbor Wall,arbor_light_cobblestone_wall,,,wall,arbor_light_cobblestone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor,arbor_light_stone,,,solid,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Arrow_slit,arbor_light_stone_arrow_slit,,,solid,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Arrow_slit_ornate,arbor_light_stone_arrow_slit_ornate,,,solid,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Arrow_slit_window,arbor_light_stone_arrow_slit_window,,,solid,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Fence,arbor_light_stone_fence,,,fence,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Hopper,arbor_light_stone_hopper,,,cuboid,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Slab,arbor_light_stone_slab,,,slab,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Stairs,arbor_light_stone_stairs,,,stair,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Tip,arbor_light_stone_tip,,,cuboid,arbor_light_stone,,,
TRUE,westeros_smooth_ashlar_tab,FALSE,,,Smooth Ashlar Arbor Wall,arbor_light_stone_wall,,,wall,arbor_light_stone,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor,arbor_small_brick,Doku,,solid,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Arrow_slit,arbor_small_brick_arrow_slit,Doku,,solid,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Arrow_slit_ornate,arbor_small_brick_arrow_slit_ornate,Doku,,solid,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Arrow_slit_window,arbor_small_brick_arrow_slit_window,Doku,,solid,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Fence,arbor_small_brick_fence,Doku,,fence,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Hopper,arbor_small_brick_hopper,Doku,,cuboid,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Slab,arbor_small_brick_slab,Doku,,slab,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Stairs,arbor_small_brick_stairs,Doku,,stair,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Tip,arbor_small_brick_tip,Doku,,cuboid,arbor_small_brick,,,
TRUE,westeros_fieldstone_tab,FALSE,,,Fieldstone Arbor Wall,arbor_small_brick_wall,Doku,,wall,arbor_small_brick,,,
FALSE,westeros_misc_tab,FALSE,,,Archery Target,archery_target,"Doku, WesterosBlocks",,log,,,,
FALSE,westeros_sounds_tab,FALSE,,,Armory large,armory_large,,,sound,,,,
FALSE,westeros_sounds_tab,FALSE,,,Armory Small,armory_small,,,sound,,,,
FALSE,westeros_banners_tab,FALSE,,,Arryn Banner,arryn_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
TRUE,westeros_misc_tab,FALSE,,,Ash,ash,WesterosBlocks,,solid,ash,,,
TRUE,westeros_misc_tab,FALSE,,,Ash Layer,ash_layer,,,layer,ash,,,
TRUE,westeros_misc_tab,FALSE,,,Ash Slab,ash_slab,,,slab,ash,,,
FALSE,westeros_tool_blocks_tab,FALSE,,,Axe Block,axe_block,,,cuboid-nsew,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Baelish Banner,baelish_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble,baelors_brown_veined_marble,,,solid,baelors_brown_veined_marble,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble Fence,baelors_brown_veined_marble_fence,,,fence,baelors_brown_veined_marble,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble Hopper,baelors_brown_veined_marble_hopper,,,cuboid,baelors_brown_veined_marble,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble Slab,baelors_brown_veined_marble_slab,,,slab,baelors_brown_veined_marble,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble Stairs,baelors_brown_veined_marble_stairs,,,stair,baelors_brown_veined_marble,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble Tip,baelors_brown_veined_marble_tip,,,cuboid,baelors_brown_veined_marble,,,
TRUE,westeros_marble_plaster_tab,FALSE,,,Baelors Brown Veined Marble Wall,baelors_brown_veined_marble_wall,,,wall,baelors_brown_veined_marble,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Crone Yellow,baelors_sphere_crone_yellow,,,cuboid,,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Father Green,baelors_sphere_father_green,,,cuboid,,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Maiden Pink,baelors_sphere_maiden_pink,,,cuboid,,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Mother Blue,baelors_sphere_mother_blue,,,cuboid,,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Smith Orange,baelors_sphere_smith_orange,,,cuboid,,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Stranger Grey,baelors_sphere_stranger_grey,,,cuboid,,,,
FALSE,westeros_decor_tab,FALSE,,,Baelors Sphere Warrior Red,baelors_sphere_warrior_red,,,cuboid,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Banefort Banner,banefort_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Bar Emmon Banner,bar_emmon_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Baratheon Banner,baratheon_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black,basalt_brick,,,solid,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Arrow_slit,basalt_brick_arrow_slit,,,solid,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Arrow_slit_ornate,basalt_brick_arrow_slit_ornate,,,solid,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Arrow_slit_window,basalt_brick_arrow_slit_window,,,solid,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Fence,basalt_brick_fence,,,fence,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Hopper,basalt_brick_hopper,,,cuboid,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Slab,basalt_brick_slab,,,slab,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Stairs,basalt_brick_stairs,,,stair,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Tip,basalt_brick_tip,,,cuboid,basalt_brick,,,
TRUE,westeros_quarter_ashlar_tab,FALSE,,,Quarter Ashlar Black Wall,basalt_brick_wall,,,wall,basalt_brick,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black,basalt_cobblestone,,,solid,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black Fence,basalt_cobblestone_fence,,,fence,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black Hopper,basalt_cobblestone_hopper,,,cuboid,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black Slab,basalt_cobblestone_slab,,,slab,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black Stairs,basalt_cobblestone_stairs,,,stair,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black Tip,basalt_cobblestone_tip,,,cuboid,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Dark Cobblestone Black Wall,basalt_cobblestone_wall,,,wall,basalt_cobblestone,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black,bedrock,,,solid,bedrock,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black Fence,bedrock_fence,,,fence,bedrock,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black Hopper,bedrock_hopper,,,cuboid,bedrock,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black Slab,bedrock_slab,,,slab,bedrock,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black Stairs,bedrock_stairs,,,stair,bedrock,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black Tip,bedrock_tip,,,cuboid,bedrock,,,
TRUE,westeros_cobblestone_tab,FALSE,Cobblestone Update,Ready For Work,Cobblestone Black Wall,bedrock_wall,,,wall,bedrock,,,
FALSE,westeros_sounds_tab,FALSE,,,Beehive Large,beehive_large,,,sound,,,,
FALSE,westeros_sounds_tab,FALSE,,,Beehive Small,beehive_small,,,sound,,,,
FALSE,westeros_misc_tab,FALSE,,,Bees,bees,,,web,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Beesbury Banner,beesbury_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
FALSE,westeros_banners_tab,FALSE,Fabric Update,,Belmore Banner,belmore_banner,WesterosBlocks,,cuboid-nsew-stack,,,,
FALSE,westeros_furniture_tab,FALSE,Wood Update,Ready For Work,Bench Butcher Knives,bench_butcher_knives,,,solid,,,,
FALSE,westeros_furniture_tab,FALSE,Wood Update,Ready For Work,Bench Carpentry Hammer Saw,bench_carpentry_hammer_saw,,,solid,,,,
FALSE,westeros_furniture_tab,FALSE,Wood Update,Ready For Work,Bench Drawers,bench_drawers,,,solid,,,,
FALSE,westeros_furniture_tab,FALSE,Wood Update,Ready For Work,Bench Kitchen Knives,bench_kitchen_knives,,,solid,,,,
FALSE,westeros_furniture_tab,FALSE,Wood Update,Ready For Work,Bench Kitchen Pans,bench_kitchen_pans,,,solid,,,,
FALSE,westeros_furniture_tab,FALSE,Wood Update,Ready For Work,Bench Mason Hammer Mallet,bench_mason_hammer_mallet,,,solid,,,,
FALSE,westeros_food_blocks_tab,FALSE,,,Berry Basket,berry_basket,,,solid,,,,
FALSE,westeros_food_blocks_tab,FALSE,,,Berry Basket Slab,berry_basket_slab,,,slab,,,,
FALSE,westeros_food_blocks_tab,FALSE,Wood Update,Ready For Work,Berry Crate,berry_crate,,,solid,,,,
FALSE,westeros_logs_tab,FALSE,Wood Update,Complete,Birch Bark Fence,birch_bark_fence,,,fence,,,,
TRUE,westeros_wood_planks_tab,FALSE,Wood Update,Complete,Birch Wood Carpet,birch_carpet,Doku,,cuboid,birch,,,
TRUE,westeros_wood_planks_tab,FALSE,Wood Update,Ready For Work,Birch Wood Cover,birch_cover,Doku,,rail,birch,,,
FALSE,westeros_wood_planks_tab,FALSE,Wood Update,Complete,Birch Door,birch_door,,,door,,,,
TRUE,westeros_wood_planks_tab,FALSE,Wood Update,Complete,Birch Wood Fence,birch_fence,Doku,,fence,birch,,,
FALSE,westeros_wood_planks_tab,FALSE,Wood Update,Ready For Work,Birch Fence with Grapes,birch_fence_with_grapes,,,fence,,,,
